agency,dataset,official_source_page,url,local_path,status,size,sha256,seasonal_adjustment_status,error
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\cbsa2503c.txt,copied-from-repo-official-cache,89391,a9a6b26c59b8d42a129f101dc815f8f6bfefaa411d1c84837427399a6cfb74bd,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\cbsa2504c.txt,copied-from-repo-official-cache,89701,06b7b7c747680a788b0a5dcf416582f192b1a9d84e68c7a63130ad9fee46f8fb,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\cbsa2505c.txt,copied-from-repo-official-cache,89507,1610e89045f37225e96a784b8d0bcb7f329c785861cc8f2aafba8b9d1991fe91,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\cbsa2506c.txt,copied-from-repo-official-cache,89443,238524283987a98aac7f6582d39e176b37a5a858f4b05a10d0cbdb962458e9fa,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\cbsa2507c.txt,copied-from-repo-official-cache,89224,46e9926381b1f721c703d7eaa07e5253c07e55f09f939fffbe351375bbcb79a4,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\cbsa2508c.txt,copied-from-repo-official-cache,89407,26df6b68be3389379842fc93d3e6ec5ae0db731f64b08f6dee6d4cf109df5817,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\cbsa2509c.txt,copied-from-repo-official-cache,89563,2d126ed4ee9097332ff626482db1f006267a42fcceb8aa7b3a3745df1b847328,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\cbsa2510c.txt,copied-from-repo-official-cache,89992,cc70382d2e64858ab0e0581be9e0ba099e7e3e556a0277d58ae01303f7b00797,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\cbsa2511c.txt,copied-from-repo-official-cache,88668,7281e6a94e242f88f383d8a5ade740a2cd0f8f78be6ade680745a58d836638af,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\cbsa2512c.txt,copied-from-repo-official-cache,88760,7406d4917252185fe1b2106ec41a482cf78bb3cdf2eafb607061cdd306acc96e,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\cbsa2601c.txt,copied-from-repo-official-cache,88082,0e59c75538fea7fa80f327f5bb7764261915e0cd8218795435f787c43b6e20c7,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\cbsa2602c.txt,copied-from-repo-official-cache,88375,d87470e9350dcc368f6256fe1de267be7c3bcb417e06c2f7c9f0730d47d1d399,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\cbsa2603c.txt,copied-from-repo-official-cache,89264,61d301c4b2a6379837f29108a23f13d282939a3c3341e46add513d698cae48df,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\cbsa2604c.txt,copied-from-repo-official-cache,89694,a14232f714e49d55bfd91df8d39f7a33d2e0a62214ba4fc94792278ec24cf05a,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\cbsa2605c.txt,copied-from-repo-official-cache,89317,e4160af1aacfb0ea1c4fec860f2f31d4095df9b96adcdf1ec02cebf07c3d23e7,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\cbsa2606c.txt,copied-from-repo-official-cache,89694,829a11fc0f3fbcfbc252d0cf5ba86558947889f64001afe1a973814110d56029,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\ma0001c.txt,copied-from-repo-official-cache,38691,0b50ee564ca083a2ff9448ec361b9197d1301f5caeccd98be49022dbf64a7410,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\ma0002c.txt,copied-from-repo-official-cache,38994,c52444c298d112d7c2f7dccd941a7f490011db630d00a9c85a796f77f4f33fd1,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\ma0003c.txt,copied-from-repo-official-cache,39586,ad1dd1697bd91c6a081cc05b1e0fe01964a9f8f2586f9c1716f7b73c78888a6a,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\ma0004c.txt,copied-from-repo-official-cache,39537,1edfc6c7c8694c25b0633173fa27552402022914582324f40c011e645cb2c5df,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\ma0005c.txt,copied-from-repo-official-cache,39946,e7c4ba696ed6c1c6059aeddbf45e4538d7cefc39e76bff79d1c6db5f8e3223a1,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\ma0006c.txt,copied-from-repo-official-cache,39953,fbb06c6df1b41d2a3a71c2d249ba69eb9f5abd37caf26e3a150ad444778a6daa,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\ma0007c.txt,copied-from-repo-official-cache,39433,0ebb01bac3fffa7c47bcd212409fdc512ae11013d1e2616bb5dbf0470fca6363,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\ma0008c.txt,copied-from-repo-official-cache,39877,1b44010ae18f0bf8c5f5ca45bc0124ec25a4f3d2beac125d1fab115fdb7f6d80,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\ma0009c.txt,copied-from-repo-official-cache,39665,4ff3d1a467bdab7ad75162151acc171b118581a97907a95d392a1cbed0c462c5,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\ma0010c.txt,copied-from-repo-official-cache,39745,d0111ee91105f10fe825f6b2c68fcced3b7100f044ccf87f49946cb905a8f3f8,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\ma0011c.txt,copied-from-repo-official-cache,39513,283b25ce5daff7c4d36ff9e588f0c8ec51893fbae55a93f02db9365fded285cf,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\ma0012c.txt,copied-from-repo-official-cache,38821,db5e02e9ff64dddc4ff6b1860b88d9877318d0661c383129f4214c82fa22f3fa,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\ma0101c.txt,copied-from-repo-official-cache,39004,6bffac674b865fc79173fd496c4f93199d002921e91bc90250acb7562d082837,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\ma0102c.txt,copied-from-repo-official-cache,39068,5c1d41ff6dac9d736706b02d2a413b5297b6c13977d7b7930a51b038725228a5,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\ma0103c.txt,copied-from-repo-official-cache,39685,136702b216720a5f4d439f3543524fb8e942a66f6d999259a994c0c9652c939c,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\ma0104c.txt,copied-from-repo-official-cache,39829,6399984270764c05ecd932f8c3fce3bf9b2d1dc27370b7266df31383c5746363,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\ma0105c.txt,copied-from-repo-official-cache,40017,18f579fb0526fa81a34647fa502e937a50d7fd0f7995c5c1990877de51905243,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\ma0106c.txt,copied-from-repo-official-cache,39990,142704e5ea767b66612617f8b554de7e57a1d7e10e00ff2788cb09f574a8af09,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\ma0107c.txt,copied-from-repo-official-cache,39613,9f4fcf3d1c79942fdbeb1d401100c8e89c447146f9cc393d31ea49ba1c0920cb,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\ma0108c.txt,copied-from-repo-official-cache,39978,d75d0836c21f3024a063141305e5da97fa312c78e80907f87c1dbaa98173c03b,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\ma0109c.txt,copied-from-repo-official-cache,39429,208c833d9bd27db65c611e649f560b415c3673646bcb5aa031df9ee92aff9775,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\ma0110c.txt,copied-from-repo-official-cache,39979,fe64b9417d45e149d96f2d1ee0335eb3189b95abbd9bc6e06d143c8e9135d873,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\ma0111c.txt,copied-from-repo-official-cache,39422,3f2531846544b3c5ebbea0c60b882696d806b46d5c26afba2de51f1ac987c6b0,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\ma0112c.txt,copied-from-repo-official-cache,39345,7368d2e85f51a37d8b438e8c4bfc54f1bf520c3d54cb8fc10369b29e8042f47d,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\ma0201c.txt,copied-from-repo-official-cache,39348,8524193d6c2edc88067897d9d988c191652b650bf2ff6e7e719e967859fcb821,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\ma0202c.txt,copied-from-repo-official-cache,39616,d04777519e2234ae06707cbc81846106b98f6ea4d2a930a66f5f1948ab729414,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\ma0203c.txt,copied-from-repo-official-cache,39871,dddea6546f9dd9193c360be5600f0ebec1d4ded1da3a8ba55fcc0a58ce3b5bbd,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\ma0204c.txt,copied-from-repo-official-cache,40126,8c67268381938ef219556ccd3ff4be8c60bad5763ae36cb718e8f8e29872c36b,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\ma0205c.txt,copied-from-repo-official-cache,40265,80760cca315dfcf52328ce3ccd715a0f1800b7c9bf3e59e383503508c3b8e567,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\ma0206c.txt,copied-from-repo-official-cache,40148,48addb19709b8657d2e1fb6d2123db5e9b46175697afe861e4d1aa26d3ae1996,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\ma0207c.txt,copied-from-repo-official-cache,40221,3154481905e61fccd4735e993d2fffabb5ae01ba20a366333261fa35fdbc8f81,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\ma0208c.txt,copied-from-repo-official-cache,40171,5e040a93f4ef9d744c986e36332b850ac58ae4aa252661810fae396b15add6fc,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\ma0209c.txt,copied-from-repo-official-cache,40065,24d8408414cde59548dd9f965f4472e11e71c51fd12e2bb97fe2f4be54ca7c1a,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\ma0210c.txt,copied-from-repo-official-cache,40436,aa58238bf08862f4eb879101266ea99ed665135e93696c190cf27bebc48c0767,not seasonally adjusted,
U.S. Census Bureau,BPS monthly MSA/CBSA permits,https://www.census.gov/construction/bps/index.html,repo official raw cache,D:\Programming\Dynamic Paper-dlrhcs_replication\outputs\empirical\unemployment\raw_sa_pilot\raw\census_bps\ma0211c.txt,copied-from-repo-official-cache,39581,0390b28d229f4e62ba28b74aac64f95c26fafa0d19a23305e703d7f2aa4001eb,not seasonally adjusted,
